,name,Playlist,Predicted Playlist
0,Nurse!,cant help myself,cant help myself
1,Masterpiece,cant help myself,born again
2,Cologne,cant help myself,cant help myself
3,Hands Clean,cant help myself,cant help myself
4,You Know How It Is,cant help myself,cant help myself
5,Floodlit,cant help myself,making amends
6,Arabella,cant help myself,easily
7,Maybe Love,cant help myself,easily
8,Cherry Waves,cant help myself,hills+
9,Hard To Explain,cant help myself,cant help myself
10,Needle In The Hay,cant help myself,springtime in verse
11,Everything Means Nothing To Me,cant help myself,salad anniversary
12,Sextape,cant help myself,cant help myself
13,Mascara,cant help myself,Silas
14,All I Think About Now,cant help myself,cant help myself
15,All Is Full of Love,cant help myself,spam&eggs
16,Xerces,cant help myself,cant help myself
0,秋の惑星 -Opening-,dusk,catching a star  ゜ﾟ･*:.｡..｡.
1,Afghanistan,dusk,cant help myself
2,불타올라 불사르라 burn,dusk,Silas
3,The Melting Of The Sun,dusk,dusk
4,SeeSaw - Club Version,dusk,cant help myself
5,Losing Touch (NYC),dusk,catching a star  ゜ﾟ･*:.｡..｡.
6,Circles,dusk,冬季到台北来看雨
7,GOODBYE,dusk,catching a star  ゜ﾟ･*:.｡..｡.
8,She Just Likes to Fight,dusk,salad anniversary
9,山海,dusk,dusk
10,"Love Like a Sunset, Pt. 2",dusk,cant help myself
0,"psst, teenagers, take off your clo",wallowing playlist,spam&eggs
1,Break (Alex G),wallowing playlist,catching a star  ゜ﾟ･*:.｡..｡.
2,Closer,wallowing playlist,hills+
3,Take Everything,wallowing playlist,wallowing playlist
4,Don't Panic,wallowing playlist,冬季到台北来看雨
5,Black Star,wallowing playlist,good shit rx
6,A Shot in the Arm,wallowing playlist,easily
7,You're so Great - 2012 Remaster,wallowing playlist,dusk
8,The Big Gloom,wallowing playlist,Silas
9,No One Is Ever Going to Want Me,wallowing playlist,手拉你
10,Nervous Young Inhumans,wallowing playlist,easily
11,Sextape,wallowing playlist,cant help myself
0,I Might Slip Away if I Don't Feel Nothing,spam&eggs,spam&eggs
1,Fireside,spam&eggs,spam&eggs
2,Hummingbird (Metro Boomin & James Blake),spam&eggs,Silas
3,Portofino,spam&eggs,easily
4,Ribbons,spam&eggs,mid-season standstill
5,Hinoki Wood,spam&eggs,冬季到台北来看雨
6,Just like Heaven,spam&eggs,born again
7,Only If,spam&eggs,catching a star  ゜ﾟ･*:.｡..｡.
8,Redbone,spam&eggs,spam&eggs
9,Was It Something I Said,spam&eggs,easily
10,Know Who You Are At Every Age,spam&eggs,good shit rx
11,TWO SUGARS,spam&eggs,spam&eggs
12,Pharmacist,spam&eggs,cant help myself
13,Sunshine (feat. Fousheé),spam&eggs,born again
14,Smile Please,spam&eggs,spam&eggs
15,Soft Shock,spam&eggs,cant help myself
16,A Shot in the Arm,spam&eggs,easily
17,Clear Bones,spam&eggs,easily
18,TBC,spam&eggs,hills+
19,Grade A (feat. JAWNY),spam&eggs,spam&eggs
20,Mona Lisa (Spider-Man: Across the Spider-Verse),spam&eggs,spam&eggs
21,Ain’t Your Right,spam&eggs,cant help myself
22,Roommates,spam&eggs,catching a star  ゜ﾟ･*:.｡..｡.
23,Delfino,spam&eggs,dusk
24,...goingtohell,spam&eggs,making amends
25,more,spam&eggs,hill
26,Maybe Love,spam&eggs,easily
27,Sleepyhead,spam&eggs,dusk
28,arrival,spam&eggs,born again
29,Butterflies,spam&eggs,salad anniversary
30,Turn Your Phone Off,spam&eggs,cant help myself
31,Love Hurts (feat. Travis Scott),spam&eggs,cant help myself
32,Fire for You,spam&eggs,making amends
33,Cola,spam&eggs,spam&eggs
0,羽,easily,easily
1,Mami,easily,easily
2,Softer Cell,easily,cant help myself
3,iowaska,easily,easily
4,Pictures,easily,hills+
5,Two Thousand and Seventeen,easily,born again
6,Silurian Blue,easily,easily
7,Gimmie Love,easily,spam&eggs
8,Open My Door,easily,cant help myself
9,Nabi,easily,easily
10,Starry Night - Edit,easily,easily
11,Lost,easily,salad anniversary
12,London Boy,easily,easily
13,I'll Haunt You,easily,easily
14,Melt,easily,easily
15,Sunny day,easily,born again
16,L-Over,easily,easily
17,Only Seeing God When I Come,easily,easily
18,Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],easily,catching a star  ゜ﾟ･*:.｡..｡.
19,Summertime,easily,easily
20,Runaway,easily,手拉你
21,Evident Utensil,easily,spam&eggs
22,Doubt,easily,catching a star  ゜ﾟ･*:.｡..｡.
23,PROBLEMZ,easily,easily
24,Rainy Tapestry,easily,Silas
25,(It Goes Like) Nanana - Edit,easily,easily
26,One More,easily,born again
27,Wil,easily,born again
28,Delfino,easily,dusk
29,Slip Away,easily,easily
30,Sleep Walk,easily,easily
31,日常的鏡頭,easily,hills+
32,Greatest Hits,easily,easily
33,おはようまだやろう,easily,Silas
34,Summer Rain,easily,mid-season standstill
35,Hasta la Raíz,easily,easily
36,Summertime,easily,easily
37,Last Train At 25 O'clock,easily,easily
38,Maybe in the Summer,easily,born again
39,Mysterious River Snake,easily,making amends
40,Você Fica Melhor Assim,easily,making amends
41,煙花,easily,easily
42,Ask About Me,easily,easily
0,Silas,Silas,Silas
1,Moth,Silas,Silas
2,Bridges,Silas,Silas
3,Cooking,Silas,Silas
4,Hands,Silas,Silas
5,Meet Me At Sachas,Silas,Silas
6,Need 2,Silas,hills+
7,..2 2 CENTIPEDES,Silas,good shit rx
8,You Make Me Care More,Silas,Silas
9,Butterfly Effect,Silas,手拉你
10,Love Cry,Silas,Silas
0,Intro,born again,making amends
1,村民,born again,born again
2,BACKSEAT,born again,born again
3,ORANGE,born again,born again
4,Sports,born again,salad anniversary
5,OBLIVIOUS,born again,born again
6,Fear Evil Like Fire,born again,hills+
7,Baby again..,born again,hills+
8,Before Today - 2015 Remaster,born again,born again
9,Si Me Voy (with The Marías),born again,easily
10,Lovely Sewer,born again,mid-season standstill
11,VOID,born again,salad anniversary
12,Hesitate,born again,easily
13,It's Ok (it's Not Ok),born again,born again
14,I Do - DRAMA Lofi Remix,born again,making amends
15,Everything Is Embarrassing,born again,salad anniversary
16,Bruise,born again,born again
17,58500 - Daniel Avery Remix,born again,born again
18,BTSTU (Moodymann Edit) - Mixed,born again,born again
19,Str8 Outta Mumbai,born again,born again
20,Do You Love Her Now,born again,born again
0,I Just Want To Love You,more,born again
1,Takes Me To You,more,Silas
2,Wish on an Eyelash,more,salad anniversary
3,home,more,salad anniversary
4,Head Alone,more,dusk
5,Another Lover,more,catching a star  ゜ﾟ･*:.｡..｡.
6,This Time,more,easily
7,Wish,more,making amends
8,Thin Air,more,easily
9,Something About Us,more,hills+
10,Can't Stop Thinking About,more,easily
11,Shadowww,more,making amends
12,Echolalia,more,mid-season standstill
13,VTMNTSCOAT,more,cant help myself
14,被丟失的他,more,dusk
15,Call For Help,more,dusk
16,He,more,Silas
17,chix - Unfinished,more,more
18,Grammar,more,Silas
19,God Is a Circle,more,cant help myself
20,Cool Colorado,more,Silas
