,name,Playlist,Predicted Playlist
0,the perfect pair,calm sigh,chill
1,Sunny day,calm sigh,chill
2,Get You (feat. Kali Uchis),calm sigh,chill
3,Please Do Not Lean (feat. BADBADNOTGOOD) - Bonus,calm sigh,chill
4,LOVE AGAIN,calm sigh,chill
5,Loose,calm sigh,chill
6,Infrunami,calm sigh,chill
7,N Side,calm sigh,chill
8,Sofia,calm sigh,chill
9,Bubble Gum,calm sigh,chill
10,Bags,calm sigh,chill
11,over u,calm sigh,chill
12,Ultralight Beam,calm sigh,chill
13,FourFiveSeconds,calm sigh,chill
14,The Color Violet,calm sigh,chill
15,Kevin’s Heart,calm sigh,chill
16,Change,calm sigh,chill
17,Sure Thing,calm sigh,chill
18,Mia & Sebastian’s Theme,calm sigh,chill
19,Chanel,calm sigh,chill
20,Pink + White,calm sigh,chill
21,ARE YOU OK?,calm sigh,chill
22,Godspeed,calm sigh,chill
23,Sweater Weather,calm sigh,chill
24,Sex on Fire,calm sigh,chill
25,A Lonely Night,calm sigh,chill
26,Sparks,calm sigh,chill
27,Same Drugs,calm sigh,chill
28,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),calm sigh,chill
29,November,calm sigh,chill
30,Ribs,calm sigh,chill
31,A World Alone,calm sigh,chill
32,Skinny Love,calm sigh,chill
33,Sweatpants,calm sigh,chill
34,comethru,calm sigh,chill
35,Pluto Projector,calm sigh,chill
36,Home,calm sigh,chill
37,Use Somebody,calm sigh,chill
38,Rivers and Roads,calm sigh,chill
39,Lovesong,calm sigh,chill
40,broken cd,calm sigh,chill
41,Falling for U,calm sigh,chill
42,It Will Rain,calm sigh,chill
0,Family Business,chill,chill
1,Flashing Lights,chill,chill
2,Pink + White,chill,chill
3,January 28th,chill,chill
4,Loose,chill,chill
5,Summer Friends (feat. Jeremih & Francis & The Lights),chill,chill
6,Sundress,chill,chill
7,I Feel It Coming,chill,chill
8,Boredom (feat. Rex Orange County & Anna of the North),chill,chill
9,FAMJAM4000,chill,chill
10,Amphetamine,chill,chill
11,Ninety,chill,chill
12,Skinny Love,chill,chill
13,Cocoa Butter Kisses,chill,chill
14,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",chill,chill
15,Sweatpants,chill,chill
16,Borderline,chill,chill
17,Television / So Far So Good,chill,chill
18,Waves,chill,chill
19,Jungle,chill,chill
20,So Good,chill,chill
21,Apparently,chill,chill
22,Wild Irish Roses,chill,chill
23,Super Rich Kids,chill,chill
24,Sunny day,chill,chill
25,Don’t get the deal,chill,chill
26,Bossa No Sé (feat. Jean Carter),chill,chill
0,I LIKE,night,chill
1,Ballad of a Badman,night,chill
2,Use This Gospel,night,chill
3,Reborn,night,chill
4,Ghost Town,night,chill
5,16,night,chill
6,Photograph,night,chill
7,Power Trip (feat. Miguel),night,chill
8,Ville Mentality,night,chill
9,Stand Tall,night,chill
10,The Color Violet,night,chill
11,Ninety,night,chill
12,Nikes,night,chill
13,Self Control,night,chill
14,Nights,night,chill
15,Summer Friends (feat. Jeremih & Francis & The Lights),night,chill
16,Cudi Zone,night,chill
17,Umbrella,night,chill
18,Pompeii,night,chill
19,Out of Time,night,chill
20,Yellow,night,chill
21,ball w/o you,night,chill
22,Juke Jam (feat. Justin Bieber & Towkio),night,chill
23,Ribs,night,chill
24,16,night,chill
25,All The Stars (with SZA),night,chill
26,Feel No Ways,night,chill
27,Jungle,night,chill
28,Exchange,night,chill
29,Come and See Me (feat. Drake),night,chill
30,MY EYES,night,chill
31,It Will Rain,night,chill
0,19.10,chills,chill
1,Divine Failure,chills,chill
2,Location,chills,chill
3,No Child Left Behind,chills,chill
4,Reborn,chills,chill
5,Ghost Town,chills,chill
6,Blood On The Leaves,chills,chill
7,Lost In The World,chills,chill
8,January 28th,chills,chill
9,Me and Your Mama,chills,chill
10,‘87 Stingray,chills,chill
11,Ninety,chills,chill
12,Pyramids,chills,chill
13,Bad Religion,chills,chill
14,Nikes,chills,chill
15,White Ferrari,chills,chill
16,90210 (feat. Kacy Hill),chills,chill
17,The Morning,chills,chill
18,Closer,chills,chill
19,"New Person, Same Old Mistakes",chills,chill
20,Let It Happen,chills,chill
21,Little Dark Age,chills,chill
22,SKELETONS,chills,chill
23,Heroes - 2017 Remaster,chills,chill
24,MY EYES,chills,chill
0,r - Cali,car,chill
1,Lifestyle,car,chill
2,5unna,car,chill
3,Hellcats & Trackhawks,car,chill
4,Stop Breathing,car,chill
5,Top (feat. Pi'erre Bourne),car,chill
6,wokeuplikethis*,car,chill
7,New Choppa,car,chill
8,Ni**as In Paris,car,chill
9,No Role Modelz,car,chill
10,Off Da Zoinkys,car,chill
11,Surround Sound (feat. 21 Savage & Baby Tate),car,chill
12,151 Rum,car,chill
13,STATS,car,chill
14,Alright,car,chill
15,Neon Guts (feat. Pharrell Williams),car,chill
16,King Kunta,car,chill
17,Shoota (feat. Lil Uzi Vert),car,chill
18,Yale,car,chill
19,Flawlëss (feat. Lil Uzi Vert),car,chill
20,Yessirskiii,car,chill
21,Semi On Em,car,chill
22,3 Headed Goat (feat. Lil Baby & Polo G),car,chill
